#Language,ภาษาไทย
#Location,TH
#Image,th  
#Virgin,<color=#8888FF>Virgin</color>
#Birth Count Text,Birth experience <color=#8888FF>{0}time</color>
#Max Birth Count Text,Pregnancy possibility <color=#8888FF>{0}time</color>
#Venereal Disease Resistance Text,STD Resistance <color=#8888FF>{0}%</color>
#Conception Rate Text,Conception Rate <color=#8888FF>{0}%</color>
#Conception Rate Text2,Conception Rate <color=#8888FF>{0}%</color><color=#88FF88>+{1}%</color>
#Market Value Text,<sprite index=1> {0} â–¶ <color=#8888FF>{1}</color>
#SellingPrice,<sprite index=1> {0}
#Buying Price,<sprite index=1> {0}
#Exchange Gold For Food,<sprite index=1> {0} â–¶ <sprite index=0> 100
#Exchange Gold For Mana,<sprite index=1> {0} â–¶ <sprite index=2> 100
#Changing Appearance Capsule Current Progress,Completion time<BR>{0} / {1}
#Changing Appearance Capsule Complete Progress,Complete
#Maintenance Cost Value,<sprite index=0><color=#8888FF>{0}</color>consumption per day
#Hunger_Text,{0}<BR><sprite index=0><color=#8888FF>{0}</color>consumption per day
#Decay,It's decaying.

// Warning
#Full_Shelf,The shelf is full.
#No_Cosmetic_Pill,There is no cosmetic potion that you can buy.
#Payment_failure_Text,Couldn't meet the payment.
#Cannot_Demolish_Text,Can't be demolished.
#Lack_of_gold,Not enough Gold.
#No_Gold,Not enough Gold.
#No_Point,Not enough Points.
#Cannot_Sell,Can't sell.
#No_Seat,No empty place.
#No_Baby,Not a baby.
#No_Adult,Not an adult.
#No_Corpse,Not a corpse.
#No_NewbornBaby,Not a newborn baby.
#Full_Room,Room is full.
#Cannot_Build,Location that cannot be built
#No_Pregnant,Not pregnant.
#No_BreedingRoom,Not a Breeding Room.
#Cannot_Allocate,Can't be placed.
#Cannot_Allocate_Yet,Can't place yet.
#Cannot_Allocate_Corpse,Corpse can't be placed.
#No_Female_Slave_Cage,Slaves were released because there were no Slave Cages.
#No_Monster_Cage,Monster were released because there were no Monster Cages.
#EnteredCode,This code has already been entered.
#No_Monster,Not a monster.
#No_Slave,Not a slave.
#Not_Character,Not a slave or monster.
#Already_Been_Applied,This effect has already been applied.
#No_Elf,Not an Elf.
#No_Unit,No slaves or monsters.
#Not_Your_Slave,Not your slave.
#Not_Your_Monster,Not your monster.
#Not_Apply,Doesn't apply.
#Not_Yet,Not available yet.
#No_Tattoo,No Tattoo.
#Full_Health,Full Health.
#Remove_Tattoo,Remove Tattoo.
#Recover_Health,Recover Health.
#Full_Milk,Full Milk.
#Recover_Milk,Give max Milk.
#No_Venereal_Disease,No STD.
#Recover_Venereal_Disease,Cure STD.
#Recover_Birth_Count,Reset Birth Count.
#NoMoveBirth,Cannot move during birth.
#Already_Upgraded,It's already upgraded.
#No_Achievement_Point,Not enough Points.
#Not_Milk_NewbornBaby,Newborn babies cannot be fed breast milk.
#No_Dna,No DNA.
#No_Upgraded,You need to upgrade.
#No_Cage,There are no cages to move.
#NotMovePlayer,The player cannot be moved.
#UnableToTurnOffPaymentList,You cannot turn off the payment list on the payment day.
#NoRepay,Not enough money to repay.
#WarningGameOver,You currently have negative Gold. Amilia will not tolerate this, so you have no choice but to borrow money.
#IsCustomizing,Only one production is possible at a time.
#No_Product_In_Market,There are no products in the market.
#No_Save,Failed to save.
#No_Dismantling,Cannot be dismantled.
#No_Sell_Player,Player cannot be sold.
#Can_Only_Upgrade_Day,You can only upgrade at day.
#Can_Only_Upgrade_Night,You can only upgrade at night.
#No_Sex,These characters can't breed together.

// LogMessage
#LogMessage_Dead,Slave(<color=#E07369>{0}</color>) is dead.
#LogMessage_Dead_bady,Baby(<color=#E07369>{0}</color>) is dead.
#LogMessage_Slave_Venereal_Disease,Slave(<color=#E07369>{0}</color>) has a Venereal Disease.
#LogMessage_Slave_Venereal_Disease,Slave(<color=#E07369>{0}</color>) has an STD.
#LogMessage_Monster_Venereal_Disease,Monster(<color=#E07369>{0}</color>) has an STD.
#LogMessage_Client_Venereal_Disease,Client(<color=#E07369>{0}</color>) has an STD.
#LogMessage_Infected,Room(<color=#E07369>{0}</color>) is contaminated.
#LogMessage_Customize,The production(<color=#63E057>{0}</color>) is completed.
#Number_Of_Name,{0} {1}x
#Be_Pregnant,{0} is pregnant.
#Give_Birth,{0} has given birth.
#Have_Venereal_Disease,{0} has an STD.
#Be_Infertile,{0} is now sterile.

// Amilia
#Not_Now,Not now.
#Not_Day,Come again during the day.
#Not_Night,Come again during the night.
#Not_Need,That's not what I want now.
#Good,Good.
#Today_Market_Rate,Today's market price.
#Not_Need_Corpse,I don't accept corpses.
#Market_Value_Text,Do you want to see the market price?
#Dispose_Corpse,Corpse disposal is <sprite index=1> {0} per head.
#DisposeInfertileMonster,Useless monster disposal is <sprite index=1> {0} per head.
#Low_Price,Are you selling low? That's good for me.
#Middle_Price,Thank you, as always~
#High_Price,...That's a high price.
#DragAndDrop,<color=#8888FF>Drag & Drop</color> please.

// UI
Day{0},{0}Day
{0}Day,{0}Day
{0:0.0}Day,{0:0.0}Day
#MonsterPrice,Monster Price
#SlavePrice,Slave Price
#GoblinPrice,Goblin
#Button_Close,Close
#Button_OK,OK
#CardName,{0}{1}Number
#GoldText,Gold
#PaymentText,Payment
#PaymentDayText,Payment Day
#DayText,{0} days
#WorkforceText,Get 1 in {0} seconds.
#MarketRateLabel,Market Rate
#SellText,Sell
#CallMonsterText,Call Dealer Again
#CallSlaveText,Call Slave
#WindowDemolitionTitle,Demolition
#WindowDemolitionText,Are you sure you want to remove it?
#Button_Yes,Yes
#Button_No,No
#CancelConstruction,Cancel Construction
#ReputationText,Reputation Lv.{0}
#WarehouseTitle,Warehouse
#FloraActionButton,Dismantle

#SlaveTitText0,Flat Chest
#SlaveTitText1,Small Tits
#SlaveTitText2,Average Tits
#SlaveTitText3,Large Tits
#SlaveTitText4,Huge Tits

#MonsterBodyText1,Good
#MonsterBodyText2,Bad

#MonsterPenisText1,Small
#MonsterPenisText2,Big

#MonsterBallText1,Small
#MonsterBallText2,Big

#Input_Name,Input name, please.
#Input_PlayerName,Input player's name, please.
#Input_EstateName,กรุณาใส่ชื่อที่ดิน ของคุณ

// Status
#Name,Name
#Race,Race
#Family_Tree,Family Tree
#Current_State,Current State
#GrowthState,Growth State
#Sterility,Sterility
#ErectileDysfunction,ED
#Eunuch,Eunuch
#Hunger,Hunger
#Venereal Disease,STD
#Venereal_Disease,STD
#Food_Consumption,Maintenance Cost (day)
#Conception_Rate,Conception Rate
#HungerValue,Health Consumed During Hunger (day)
#MentalityConsumedDuringPregnancy,Health Consumed During Pregnancy (sec)
#Venereal_Disease_Resistance,STD Resistance Rate
#BirthCount,Birth Count
#Postpartum_Time,Break Time After Birth
#Sex_Time,Sex Time
#ValueToDecreaseMentality,Slave's Health Consumed During Sex (sec)
#Growth_Time,Baby Growth Time
#Soul,Soul
#BreastMilk,Breast Milk
#MultipleFetuses,Max Concurrent Fetuses

#Tits_Type,Tits Size
#Body_Type,Body Size
#MonsterBodyType,Body Type
#Eye_Color_Type,Eye Color
#Hair_Color_Type,Hair Color
#SkinColorType,Skin Color
#FirstSexPartner,First Partner
#FirstSexPartnerRace,Tattooed By
#Sex_Count,Sex Experience
#SexPartnerCount,Unique Partners
#Charm_Type,Charm
#Creampie,Creampie Count
#FirstPartner,First Creampie

#SkinCondition,Skin Condition
#BodyCondition,Body Condition
#PenisType,Penis Size
#BallsType,Ball Size

#Price,Price

#SecondFormat,{0:0}s
#Percent,{0:0}%
#Small,Small
#Medium,Medium
#Large,Large
#Thick,Thick
#Thin,Thin
#Nobody,Nobody
#Unknown,Unknown
#FamilyTreeFarther,Father: {0}
#FamilyTreeMother,Mother: {0}
#Baby,Baby
#Adult,Adult
#Child,Loli

#Amilia,เอมิเลีย
#Flora,Flora
#Niel,Noel
#SenaLena,Sena & Lena
#Locked,Locked

#Sylvia,Sylvia
#SylviaPartner,Kenneth
#SylviaFamilyTree,Father: Unknown<BR>Mother: Unknown
#Claire,Claire
#ClaireFamilyTree,Father: Unknown<BR>Mother: Unknown
#Aure,Suki
#AureFamilyTree,Father: Gimli<BR>Mother: Unknown
#Karen,Karen
#KarenFamilyTree,Father: Unknown<BR>Mother: Unknown
#Vivi,Serena
#Bella,Chris

#Tab_Status,Status
#Tab_Trait,Trait
#Tab_MarketRate,Market Rate
#Tab_Buyer,Buyer

#BuyerRate,Selling Price<BR>+{0}%

#Color,Color
#Color_Random,Random
#Color_Brown,Brown
#Color_Yellow,Yellow
#Color_Black,Black
#Color_White,White
#Color_Beige,Beige
#Color_Gold,Gold
#Color_Green,Green
#Color_Lime,Lime
#Color_Orange,Orange
#Color_Gray,Gray
#Color_DarkGold,Dark Gold
#Color_SandyBrown,Sandy Brown
#Color_Blue,Blue
#Color_Red,Red
#Color_Aqua,Aqua
#Color_LightGreen,Light Green
#Color_Cyan,Cyan
#Color_Purple,Purple
#Color_Pink,Pink

#Appearance_SkinCondition,Skin Condition
#Appearance_Body,Body
#Appearance_SkinColor,Skin Color
#Appearance_ScaleColor,Scale Color
#Appearance_HairColor,Hair Color
#Appearance_EyeColor,Eye Color
#Appearance_ChestHair,Chest Hair
#Appearance_ArmHair,Arm Hair
#Appearance_LegHair,Leg Hair
#Appearance_PubicHair,Pubic Hair
#Appearance_Hair,Hair
#Appearance_Penis,Penis
#Appearance_Ball,Balls
#Appearance_Ear,Ear
#Appearance_EarHair,Ear Hair
#Appearance_Nose,Nose
#Appearance_Horn,Horn
#Appearance_HornColor,Horn Color
#Appearance_Beard,Beard
#Appearance_Tooth,Teeth
#Appearance_Figure,Figure
#Appearance_Tail,Tail

#Appearance_Tits,Tits
#Appearance_EyeBall,Iris
#Appearance_Eye,Eye Shape
#Appearance_HairFront,Hair Front
#Appearance_HairSide,Hair Side
#Appearance_HairBack,Hair Back

#RaceHumanText,Human
#RaceElfText,Elf
#RaceDwarfText,Dwarf
#RaceNekoText,Cat
#RaceInuText,Fox
#RaceUsagiText,Rabbit
#RaceHitsujiText,Sheep
#RaceDragonianText,Dragonian
#RaceSuccubusText,Succubus
#RaceGoblinText,Goblin
#RaceOrcText,Orc
#RaceWerewolfText,Werewolf
#RaceHorseText,Horse
#RaceMinotaurText,Minotaur

#Test_Toggle,TEST<BR>TOGGLE
#Test_Resources,Resources
#Test_ReputationUp,Reputation<BR>+10
#Test_ReputationDown,Reputation<BR>-10
#Test_RaceTrait1,Race<BR>Trait1
#Test_RaceTrait2,Race<BR>Trait2
#Test_Trait1,Trait1
#Test_Trait2,Trait2
#Test_Trait3,Trait3
#Test_Trait4,Trait4

#Milk,Milk
#LoliMilk,Loli Milk
#HumanMilk,Human Milk
#ElfMilk,Elf Milk
#DwarfMilk,Dwarf Milk
#FurryMilk,Furry Milk
#SmallFurryMilk,Small Furry Milk
#DragonianMilk,Dragonian Milk

#Item0100100,Bodily Fluids
#Item0100100Text,A common by-product of all races.
#Item0100200,Disease DNA
#Item0100200Text,A by-product that can only be obtained if you have an STD.

#Item0200600,Human Pheromone
#Item0200600Text,The Human race's characteristically strong pheromones.
#Item0200800,Elf Mana Engine
#Item0200800Text,The source of the powerful magical abilities and mana generation of the Elven race.
#Item0201000,Dwarf Heart
#Item0201000Text,The source of the powerful physical abilities and regenerative power of the Dwarven race.
#Item0201100,Fox Furry Mammary Gland DNA
#Item0201100Text,DNA that promotes lactation in Fox Furries.
#Item0201200,Cat Furry Ovarian DNA
#Item0201200Text,DNA that promotes egg ovulation in Cat Furries.
#Item0201300,Rabbit Furry Womb DNA
#Item0201300Text,DNA extracted from an Rabbit Furry's womb.
#Item0201400,Sheep Furry Horn
#Item0201400Text,Used as an ingredient in expensive medicines.
#Item0201500,Dragon Tail Meat
#Item0201500Text,A high-quality ingredient. Traded at a very high price.

#Item0301900,Goblin Semen
#Item0301900Text,Has the effect of making females go into heat, regardless of race.
#Item0302200,Orc Heart
#Item0302200Text,The source of Orcish regenerative power and good blood circulation.
#Item0302400,Werewolf Tail
#Item0302400Text,Soft and fluffy, it is the highest quality of fur.
#Item0302500,Minotaur Leather
#Item0302500Text,A top quality material that's very tough and durable. Traded at a very high price.

#Item0400500,Tattoo Removal
#Item0400500Text,Instantly removes an Elf's tattoo.
#Item0400600,Health Recovery
#Item0400600Text,Instantly recovers a slave's Health.
#Item0400900,Mammary Injection
#Item0400900Text,Instantly fills a slave's Milk.
#Item0401000,Disease Cure
#Item0401000Text,Instantly cures a slave or monster's STD.
#Item0401010,Ovum Recovery
#Item0401010Text,Resets a slave's current Birth Count to 0.

#Item107Name,Gold
#Item107Text,Gold
#Item111Name,Achievement point
#Item111Text,Achievement point
#Item112Name,Human DNA
#Item112Text,Human's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item113Name,Elf DNA
#Item113Text,Elf's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item114Name,Dwarf DNA
#Item114Text,Dwarf's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item115Name,Neko DNA
#Item115Text,Neko's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item116Name,Inu DNA
#Item116Text,Inu's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item117Name,Usagi DNA
#Item117Text,Usagi's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item118Name,Hitsuji DNA
#Item118Text,Hitsuji's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item119Name,Dragonian DNA
#Item119Text,Dragonian's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item120Name,Goblin DNA
#Item120Text,Goblin's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item121Name,Orc DNA
#Item121Text,Orc's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item122Name,Werewolf DNA
#Item122Text,Werewolf's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item123Name,Minotaur DNA
#Item123Text,Minotaur's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item124Name,Salamander DNA
#Item124Text,Salamander's DNA that can be obtained with a low probability, used for forbidden alchemy.
#Item125Name,Origin DNA
#Item125Text,DNA origin that can be obtained with a low probability, used to make all slaves and monsters.
#Item126Name,Fertility medication
#Item126Text,After using the item, be sure to get pregnant the next time you cumshot inside.
#Item127Name,Aphrodisiac
#Item127Text,Be sure to cumshot inside during sex for the duration after using the item.<BR>The duration is 1 day.
#Item128Name,ViOgra
#Item128Text,Do not take a rest after sex for the duration after using the item.<BR>The duration is 1 day.
#Item129Name,Sensitivity 3000x
#Item129Text,The use speed of the brothel is increased by 1.5 times and the payment price is increased by 1.5 times, for the duration after using the item.<BR>The duration is 0.5 day.(Automatically used immediately after production)
#Item130Name,Washer
#Item130Text,After using the item, all semen in the field is washed away. (Automatically used immediately after production)
#Item131Name,Salamander's Scale Piece
#Item131Text,A piece of scale that contains the energy of flame, is traded as a very expensive magic material.
#Item132Name,Condom
#Item132Text,Condom
#Item133Name,Love gel
#Item133Text,Love gel
#Item134Name,Cosmetic potion
#Item134Text,Cosmetic potion
#Item135Name,Monster cosmetic potion
#Item135Text,An item that randomly changes the appearance of a monster
#Item136Name,Slave cosmetic potion
#Item136Text,An item that randomly changes the appearance of a slave
#Item137Name,Trait upgrade potion
#Item137Text,An item that upgrades a random trait.

#NielBookButton,Illustrated book
#NielBookLabel,Illustrated book
#NielActionButton,Produce
#GetButton,Get

#Trait_0101000100,Charm of all races
#Trait_0101000100_Tooltip,When placing a brothel, add up to 2 to 3 times the brothel usage amount.
#Trait_0101100000,Weak race
#Trait_0101100000_Tooltip,When breeding while drained, the amount of health consumed increases by 1.5 times.
#Trait_0102000000,Heat
#Trait_0102000000_Tooltip,When the tattoo is engraved, the elf's lust rises, causing her to go into heat, Increases the conception rate by 30% only on target race engraved with tattoo.
#Trait_0102100200,Dwarf bastards
#Trait_0102100200_Tooltip,Elves hate dwarves, so they don't want to be in the same place, Health recovery speed reduced by 0.5 times
#Trait_0103000000,Warrior's soul
#Trait_0103000000_Tooltip,The Warrior's soul has blessed the dwarf, There is a certain probability that the health does not decrease during sex.
#Trait_0103100200,Elf bastards
#Trait_0103100200_Tooltip,Dwarves hate elves, so they don't want to be in the same place, Health recovery speed reduced by 0.5 times
#Trait_0105000000,Additional pregnancy
#Trait_0105000000_Tooltip,When pregnant, there is a certain probability that you can conceive one more fetus.
#Trait_0105100000,Excessive writhing
#Trait_0105100000_Tooltip,There is a certain probability that sex will be interrupted due to the excessive writhing of the Neko Furry's.
#Trait_0106000000,Many Milk
#Trait_0106000000_Tooltip,Inu furry has a body optimized for breastfeeding, After taking all the breast milk, there is a certain probability that all the breast milk will be recovered.
#Trait_0106100000,Gluttony
#Trait_0106100000_Tooltip,When supplying daily food, there is a chance to request one more food, It only activates once per day.
#Trait_0107000000,Superfetation
#Trait_0107000000_Tooltip,Usagi Furry has two wombs.<BR>During pregnancy, an additional pregnancy is possible with a certain probability during cumshot inside.<BR>Fetus gets +1.
#Trait_0107100000,Bulimia
#Trait_0107100000_Tooltip,There is a chance to double the food requirement when supplying daily food.
#Trait_0108000000,Relaxed thinking
#Trait_0108000000_Tooltip,Sheep furry has a relaxed thinking.<BR>When not drained and resting, the speed of health recovery increases by 1.5 times.
#Trait_0108100000,Coward
#Trait_0108100000_Tooltip,Sheep furry is a coward.<BR>If there are Inu furrys or monsters in the same place, health decrease by 1 per second
#Trait_0109000000,Strong genes
#Trait_0109000000_Tooltip,Dragonian takes only good genes.<BR>Only + traits among general traits can be inherited.
#Trait_0109100100,Gene selection
#Trait_0109100100_Tooltip,Dragonian rejects bad genes.<BR>If the monster has two or more - & 0 traits, breeding is refused.

#Trait_0101200000,Ace Of Brothel
#Trait_0101200000_Tooltip,Show off her skills as the best stripper in Brothel<BR>When placing a brothel, the brothel usage amount is added up to 5 to 10 times
#Trait_0102200000,Iron Will
#Trait_0102200000_Tooltip,Representing her strong will<BR>Apply half of all health consumption
#Trait_0103200000,Steel Uterus
#Trait_0103200000_Tooltip,Her duty as a tribal princess to bear many children is reflected<BR>If the maximum number of births is filled, the current number of births becomes 0 only once.
#Trait_0104200000,Robbery
#Trait_0104200000_Tooltip,Thieves loot anything, including their opponent's sperm.<BR>Immediately when pregnancy fails with cumshot outside and cumshot inside get into sex
#Trait_0107200000,Gambler's bad luck
#Trait_0107200000_Tooltip,She is so addicted to gambling that she even bets whether she is pregnant or not.<BR>She always makes that bet only when she's pregnant, but her bad luck goes beyond limits,<BR>When she's pregnant she necessarily gets extra pregnant when she cumshot inside(fetus +1).
#Trait_0109200000,Genetic engineering
#Trait_0109200000_Tooltip,A master of genetic engineering, she can manipulate genes with her mana.<BR>One of the general traits of the fetus is upgraded by one level.

#Trait_0201000000,Humiliation
#Trait_0201000000_Tooltip,When they prematurly cum outside, there is a chance to immediately start sex again.
#Trait_0201100100,Sadism
#Trait_0201100100_Tooltip,When breeding with drained slaves, the consumption of health is increased by 1.5 times.
#Trait_0202000100,Over excitement
#Trait_0202000100_Tooltip,Cumshot is accelerated because of so much excitement, sex time is increased by 0.5 times.
#Trait_0202100000,Semen tank
#Trait_0202100000_Tooltip,When breeding, health consumption increases by 1.5 times.
#Trait_0203000000,Grooming
#Trait_0203000000_Tooltip,Werewolves gently lick their opponents. When not breeding with a slave, health is recovered by 1 per second.
#Trait_0203100000,Violent copulation
#Trait_0203100000_Tooltip,Werewolves over-excited during mating have a chance to deal half the target's Slave's health as damage.
#Trait_0204000100,Give birth! god's child
#Trait_0204000100_Tooltip,In the past, minotaurs were worshiped as gods. When a slave pregnant a minotaur, there is a low probability that one of the negative traits will change into a positive one.
#Trait_0204100100,Miscarriage
#Trait_0204100100_Tooltip,The minotaur's cock is difficult for a slave to accept. Breeding while a slave is pregnant leads to a low probability of miscarriage of the fetus.

#Trait_93_Name,Conception rate {0}%
#Trait_93_Text,Conception rate {0}%
#Trait_94_Name,Growth time {0}s
#Trait_94_Text,Baby Growth time {0}s
#Trait_95_Name,Maintenance Cost {0}
#Trait_95_Text,Daily Maintenance Cost {0}
#Trait_96_Name,Max health {0}
#Trait_96_Text,Max health {0}
#Trait_97_Name,Max birth count {0}
#Trait_97_Text,Max birth count {0}
#Trait_98_Name,Multiple pregnancy {0}
#Trait_98_Text,Number of fetuses that can be conceived at one time {0}
#Trait_99_Name,Breeding time {0}s
#Trait_99_Text,Breeding time {0}s
#Trait_100_Name,Slave's health consumption during breeding {0}
#Trait_100_Text,Slave's health consumption during breeding {0}
#Trait_101_Name,Prejudice
#Trait_101_Text,Contrary to popular belief, Salamanders do not touch weak opponents.<BR>With a certain probability, it refuses to breed with drained slaves.
#Trait_102_Name,Pride
#Trait_102_Text,Salamanders are very intelligent and have picky tastes.<BR> Will refuse to breed with the same slave more than 5 times.

#RaceTraitTitle,Racial Trait
#TraitTitle,Trait

#Difficulty,SELECT DIFFICULTY
#Difficulty0,EASY
#Difficulty1,NORMAL
#Difficulty2,HARD
#Difficulty3,MASTER

#Resource,Resource
#Facility,Facility
#Ground,Ground
#Underground,Underground

#UpgradeTab0,Slave
#UpgradeTab1,Monster
#UpgradeTab2,Resources
#UpgradeTab3,Facility
#UpgradeTab4,Ground
#UpgradeTab5,Underground

#UpgradeMarketSlotSlave1,Add Market Slave Slot
#UpgradeMarketSlotSlave2,Add Market Slave Slot
#UpgradeMarketElf,Add Elf Slaves To Market 
#UpgradeMarketDwarf,Add Dwarf Slaves To Market 
#UpgradeMarketFurry,Add Furry Slaves To Market 
#UpgradeMarketSmallFurry,Add Small Furry Slaves To Market 
#UpgradeMarketDragonian,Add Dragonian Slaves To Market 
#UpgradeMarketSlotMonster1,Add Market Monster Slot
#UpgradeMarketSlotMonster2,Add Market Monster Slot
#UpgradeMarketOrc,Add Orc Monsters To Market 
#UpgradeMarketWerewolf,Add Werewolf Monsters To Market 
#UpgradeMarketMinotaur,Add Minotaur Monsters To Market 

#UpgradeMaxFood1,Racial By-Product Rate Up
#UpgradeMaxFood2,Racial By-Product Rate Up
#UpgradeMaxFood3,Racial By-Product Rate Up
#UpgradeMaxMana1,DNA Acquisition Rate Up
#UpgradeMaxMana2,DNA Acquisition Rate Up
#UpgradeMaxMana3,DNA Acquisition Rate Up
#UpgradeAmilia1,Pixie Requirement -5
#UpgradeAmilia2,Pixie Requirement -5
#UpgradeAmilia3,Pixie Requirement -5

#UpgradeReducedSlaveMakingTime1,Slave Time Down
#UpgradeReducedSlaveMakingTime2,Slave Time Down
#UpgradeReducedMonsterMakingTime1,Monster Time Down
#UpgradeReducedMonsterMakingTime2,Monster Time Down
#UpgradeReducedBigMonsterMakingTime1,Large Monster Time Down
#UpgradeReducedBigMonsterMakingTime2,Large Monster Time Down
#UpgradeReducedBigMonsterMakingTime3,Large Monster Time Down
#UpgradeSpecialItemsCanBeCrafted,Special Items Can Be Created

#UpgradeIncreaseCountOfItem1,Increase Max Condom & Love Gel Count
#UpgradeIncreaseCountOfItem2,Increase Max Condom & Love Gel Count
#UpgradeIncreaseCountOfItem3,Increase Max Condom & Love Gel Count
#UpgradeDecreasePriceOfItem1,Discount Condom & Love Gel
#UpgradeDecreasePriceOfItem2,Discount Condom & Love Gel
#UpgradeDecreasePriceOfItem3,Discount Condom & Love Gel
#UpgradeIncreaseCountOfPill1,Increase Max Cosmetic Potion Count
#UpgradeIncreaseCountOfPill2,Increase Max Cosmetic Potion Count
#UpgradeDecreasePriceOfPill1,Discount Cosmetic Potion
#UpgradeDecreasePriceOfPill2,Discount Cosmetic Potion
#UpgradeDecreasePriceOfPill3,Discount Cosmetic Potion

#NielBookTab1,Consumable
#NielBookTab2,Cash Item

#LabelAchievement,Achievements
#Achievement,Achievements
#AchievementTab0,STD
#AchievementTab1,Slave
#AchievementTab2,Monster
#AchievementTab3,Play
#AchievementTab4,Facility
#AchievementTab5,Dismantling
#AchievementTab6,Laboratory
